filename,Label
100023.jpg,Spiral
100053.jpg,Elliptical
100078.jpg,Elliptical
100090.jpg,Elliptical
100122.jpg,Elliptical
100123.jpg,Irregular
100128.jpg,Elliptical
100134.jpg,Spiral
100263.jpg,Irregular
100288.jpg,Elliptical
100295.jpg,Elliptical
100380.jpg,Spiral
100402.jpg,Elliptical
100428.jpg,Elliptical
100434.jpg,Elliptical
100444.jpg,Elliptical
100458.jpg,Elliptical
100479.jpg,Elliptical
100513.jpg,Irregular
100520.jpg,Irregular
100561.jpg,Irregular
100571.jpg,Elliptical
100601.jpg,Elliptical
100672.jpg,Elliptical
100673.jpg,Spiral
100724.jpg,Elliptical
100727.jpg,Elliptical
100740.jpg,Elliptical
100744.jpg,Elliptical
100765.jpg,Spiral
100801.jpg,Spiral
100813.jpg,Spiral
100821.jpg,Spiral
100852.jpg,Elliptical
100859.jpg,Spiral
100867.jpg,Elliptical
100951.jpg,Spiral
101007.jpg,Spiral
101061.jpg,Elliptical
101074.jpg,Spiral
101092.jpg,Elliptical
101133.jpg,Irregular
101140.jpg,Spiral
101151.jpg,Elliptical
101164.jpg,Elliptical
101244.jpg,Irregular
101246.jpg,Elliptical
101247.jpg,Elliptical
101251.jpg,Elliptical
101275.jpg,Spiral
101290.jpg,Elliptical
101291.jpg,Elliptical
101296.jpg,Elliptical
101298.jpg,Spiral
101307.jpg,Spiral
101315.jpg,Spiral
101325.jpg,Elliptical
101371.jpg,Elliptical
101501.jpg,Irregular
101502.jpg,Elliptical
101518.jpg,Elliptical
101538.jpg,Elliptical
101548.jpg,Elliptical
101564.jpg,Spiral
101572.jpg,Elliptical
101589.jpg,Irregular
101591.jpg,Irregular
101597.jpg,Elliptical
101599.jpg,Elliptical
101623.jpg,Elliptical
101627.jpg,Elliptical
101654.jpg,Irregular
101666.jpg,Irregular
101695.jpg,Elliptical
101754.jpg,Elliptical
101756.jpg,Spiral
101774.jpg,Spiral
101787.jpg,Spiral
101798.jpg,Irregular
101804.jpg,Spiral
101816.jpg,Elliptical
101854.jpg,Elliptical
101858.jpg,Elliptical
101875.jpg,Elliptical
101943.jpg,Elliptical
101971.jpg,Elliptical
101980.jpg,Irregular
101991.jpg,Spiral
102000.jpg,Elliptical
102015.jpg,Elliptical
102040.jpg,Spiral
102046.jpg,Irregular
102176.jpg,Spiral
102182.jpg,Elliptical
102243.jpg,Spiral
102260.jpg,Elliptical
102295.jpg,Elliptical
102347.jpg,Irregular
102371.jpg,Elliptical
102391.jpg,Spiral
102402.jpg,Spiral
102407.jpg,Spiral
102422.jpg,Spiral
102433.jpg,Spiral
102471.jpg,Elliptical
102474.jpg,Spiral
102481.jpg,Elliptical
102513.jpg,Elliptical
102556.jpg,Elliptical
102595.jpg,Irregular
102602.jpg,Elliptical
102642.jpg,Elliptical
102699.jpg,Irregular
102729.jpg,Elliptical
102735.jpg,Spiral
102742.jpg,Spiral
102743.jpg,Elliptical
102765.jpg,Spiral
102770.jpg,Elliptical
102804.jpg,Elliptical
102822.jpg,Irregular
102834.jpg,Elliptical
102839.jpg,Elliptical
102843.jpg,Elliptical
102919.jpg,Irregular
102928.jpg,Elliptical
102933.jpg,Elliptical
102977.jpg,Elliptical
102990.jpg,Spiral
102998.jpg,Irregular
103019.jpg,Spiral
103037.jpg,Spiral
103072.jpg,Elliptical
103075.jpg,Spiral
103191.jpg,Elliptical
103233.jpg,Elliptical
103260.jpg,Elliptical
103323.jpg,Elliptical
103348.jpg,Elliptical
103353.jpg,Elliptical
103354.jpg,Elliptical
103356.jpg,Spiral
103491.jpg,Irregular
103500.jpg,Elliptical
103523.jpg,Irregular
103533.jpg,Spiral
103547.jpg,Spiral
103561.jpg,Spiral
103610.jpg,Elliptical
103645.jpg,Elliptical
103646.jpg,Elliptical
103707.jpg,Elliptical
103718.jpg,Elliptical
103754.jpg,Irregular
103758.jpg,Elliptical
103818.jpg,Spiral
103819.jpg,Elliptical
103824.jpg,Spiral
103902.jpg,Elliptical
103904.jpg,Elliptical
103950.jpg,Spiral
103974.jpg,Irregular
103979.jpg,Spiral
104001.jpg,Spiral
104020.jpg,Spiral
104040.jpg,Spiral
104096.jpg,Elliptical
104110.jpg,Elliptical
104143.jpg,Elliptical
104159.jpg,Elliptical
104173.jpg,Elliptical
104196.jpg,Elliptical
104234.jpg,Spiral
104253.jpg,Elliptical
104279.jpg,Irregular
104365.jpg,Irregular
104387.jpg,Elliptical
104389.jpg,Spiral
104414.jpg,Elliptical
104420.jpg,Spiral
104422.jpg,Elliptical
104440.jpg,Elliptical
104478.jpg,Spiral
104516.jpg,Elliptical
104536.jpg,Spiral
104589.jpg,Spiral
104602.jpg,Elliptical
104611.jpg,Elliptical
104612.jpg,Elliptical
104703.jpg,Elliptical
104764.jpg,Elliptical
104784.jpg,Spiral
104934.jpg,Spiral
104977.jpg,Elliptical
104988.jpg,Elliptical
105009.jpg,Spiral
105014.jpg,Irregular
105020.jpg,Elliptical
105028.jpg,Irregular
105069.jpg,Spiral
105088.jpg,Elliptical
105092.jpg,Elliptical
105165.jpg,Elliptical
105218.jpg,Spiral
105258.jpg,Elliptical
105314.jpg,Spiral
105354.jpg,Elliptical
105365.jpg,Spiral
105417.jpg,Spiral
105447.jpg,Elliptical
105459.jpg,Elliptical
105497.jpg,Spiral
105500.jpg,Spiral
105507.jpg,Elliptical
105539.jpg,Spiral
105572.jpg,Spiral
105631.jpg,Spiral
105648.jpg,Elliptical
105700.jpg,Spiral
105755.jpg,Elliptical
105757.jpg,Elliptical
105772.jpg,Elliptical
105774.jpg,Spiral
105797.jpg,Elliptical
105868.jpg,Elliptical
105870.jpg,Elliptical
105900.jpg,Irregular
105925.jpg,Spiral
105991.jpg,Elliptical
106000.jpg,Elliptical
106018.jpg,Elliptical
106028.jpg,Elliptical
106040.jpg,Elliptical
106044.jpg,Elliptical
106049.jpg,Irregular
106079.jpg,Irregular
106170.jpg,Elliptical
106206.jpg,Irregular
106230.jpg,Elliptical
106263.jpg,Irregular
106355.jpg,Spiral
106357.jpg,Irregular
106388.jpg,Elliptical
106390.jpg,Spiral
106463.jpg,Elliptical
106471.jpg,Irregular
106621.jpg,Spiral
106652.jpg,Elliptical
106664.jpg,Spiral
106689.jpg,Elliptical
106694.jpg,Elliptical
106725.jpg,Irregular
106749.jpg,Elliptical
106773.jpg,Elliptical
106777.jpg,Spiral
106781.jpg,Elliptical
106784.jpg,Spiral
106800.jpg,Elliptical
106812.jpg,Elliptical
106841.jpg,Elliptical
106896.jpg,Elliptical
106919.jpg,Elliptical
106923.jpg,Elliptical
107012.jpg,Spiral
107084.jpg,Spiral
107143.jpg,Elliptical
107159.jpg,Spiral
107193.jpg,Irregular
107202.jpg,Spiral
107229.jpg,Spiral
107261.jpg,Elliptical
107272.jpg,Elliptical
107298.jpg,Elliptical
107355.jpg,Spiral
107374.jpg,Spiral
107379.jpg,Spiral
107383.jpg,Elliptical
107388.jpg,Elliptical
107394.jpg,Elliptical
107403.jpg,Elliptical
107415.jpg,Irregular
107434.jpg,Irregular
107435.jpg,Elliptical
107461.jpg,Elliptical
107480.jpg,Elliptical
107496.jpg,Irregular
107517.jpg,Spiral
107521.jpg,Elliptical
107524.jpg,Spiral
107539.jpg,Elliptical
107553.jpg,Elliptical
107555.jpg,Spiral
107573.jpg,Elliptical
107576.jpg,Elliptical
