filename,Predicted_Label,Confidence_Score
100008.jpg,Elliptical,0.972
100143.jpg,Irregular,0.9473
100150.jpg,Elliptical,0.941
100157.jpg,Spiral,0.82
100187.jpg,Spiral,0.5244
100204.jpg,Spiral,0.783
100237.jpg,Spiral,0.569
100259.jpg,Elliptical,0.7383
100322.jpg,Irregular,0.634
100335.jpg,Spiral,0.5317
100367.jpg,Irregular,0.535
100382.jpg,Spiral,0.9697
100383.jpg,Irregular,0.503
100445.jpg,Spiral,0.731
100474.jpg,Spiral,0.7783
100506.jpg,Elliptical,0.538
100541.jpg,Elliptical,0.861
100623.jpg,Irregular,0.5522
100730.jpg,Elliptical,0.9795
100774.jpg,Elliptical,0.9736
100822.jpg,Spiral,0.6084
100836.jpg,Irregular,0.703
100861.jpg,Elliptical,0.9785
100887.jpg,Elliptical,0.9673
100894.jpg,Elliptical,0.9937
100938.jpg,Irregular,0.6216
100986.jpg,Spiral,0.476
101127.jpg,Irregular,0.8535
101135.jpg,Irregular,0.7334
101166.jpg,Spiral,0.889
101181.jpg,Irregular,0.7007
101232.jpg,Irregular,0.673
101239.jpg,Irregular,0.846
101283.jpg,Elliptical,0.752
101286.jpg,Elliptical,0.965
101306.jpg,Irregular,0.5396
101324.jpg,Spiral,0.793
101355.jpg,Irregular,0.9307
101358.jpg,Spiral,0.72
101374.jpg,Irregular,0.9336
101375.jpg,Elliptical,0.572
101427.jpg,Spiral,0.6587
101469.jpg,Elliptical,0.8677
101493.jpg,Elliptical,0.756
101549.jpg,Elliptical,0.8394
101563.jpg,Irregular,0.5767
101595.jpg,Irregular,0.594
101651.jpg,Elliptical,0.9463
101660.jpg,Spiral,0.646
101685.jpg,Irregular,0.811
101701.jpg,Elliptical,0.6416
101718.jpg,Irregular,0.8315
101762.jpg,Elliptical,0.5938
101788.jpg,Elliptical,0.7314
101807.jpg,Irregular,0.4873
101848.jpg,Irregular,0.6694
101893.jpg,Irregular,0.561
101941.jpg,Spiral,0.567
101955.jpg,Spiral,0.628
101995.jpg,Irregular,0.794
101997.jpg,Irregular,0.886
102021.jpg,Elliptical,0.689
102027.jpg,Spiral,0.6387
102047.jpg,Elliptical,0.92
102113.jpg,Spiral,0.589
102115.jpg,Elliptical,0.9917
102159.jpg,Spiral,0.569
102174.jpg,Elliptical,0.9937
102271.jpg,Elliptical,0.9604
102328.jpg,Spiral,0.7407
102406.jpg,Spiral,0.5264
102616.jpg,Elliptical,0.9375
102649.jpg,Spiral,0.707
102657.jpg,Irregular,0.801
102701.jpg,Elliptical,0.9224
102731.jpg,Irregular,0.5903
102799.jpg,Elliptical,0.969
102808.jpg,Elliptical,0.9985
102812.jpg,Irregular,0.776
102863.jpg,Elliptical,0.9517
102871.jpg,Elliptical,0.6123
102874.jpg,Elliptical,0.5464
102964.jpg,Irregular,0.598
102974.jpg,Elliptical,0.638
102982.jpg,Spiral,0.5225
103040.jpg,Elliptical,0.64
103132.jpg,Irregular,0.783
103159.jpg,Elliptical,0.917
103167.jpg,Spiral,0.4329
103224.jpg,Elliptical,0.996
103246.jpg,Elliptical,0.7886
103255.jpg,Irregular,0.795
103318.jpg,Irregular,0.4568
103373.jpg,Elliptical,0.6074
103386.jpg,Irregular,0.7173
103393.jpg,Spiral,0.691
103444.jpg,Irregular,0.553
103445.jpg,Elliptical,0.996
103503.jpg,Elliptical,0.512
103520.jpg,Irregular,0.511
103577.jpg,Elliptical,0.9873
103592.jpg,Spiral,0.605
103626.jpg,Elliptical,0.7056
103731.jpg,Elliptical,0.998
103750.jpg,Irregular,0.6763
103751.jpg,Irregular,0.4966
103769.jpg,Irregular,0.4888
103787.jpg,Irregular,0.719
103882.jpg,Elliptical,0.897
103900.jpg,Elliptical,0.999
103907.jpg,Elliptical,0.986
103955.jpg,Elliptical,0.9937
103999.jpg,Irregular,0.4492
104008.jpg,Irregular,0.8755
104041.jpg,Elliptical,0.4058
104131.jpg,Elliptical,0.9897
104141.jpg,Irregular,0.5005
104212.jpg,Elliptical,0.684
104216.jpg,Irregular,0.6274
104222.jpg,Elliptical,0.8936
104243.jpg,Elliptical,0.9873
104267.jpg,Irregular,0.823
104268.jpg,Irregular,0.782
104281.jpg,Elliptical,0.952
104287.jpg,Irregular,0.7183
104310.jpg,Elliptical,0.548
104314.jpg,Elliptical,0.912
104317.jpg,Irregular,0.798
104354.jpg,Irregular,0.725
